[2023-11-19 05:33:38.707] | INFO | services.log_ingestor_services | process_log_message | log_ingestor_services.py:21 | Indexed log message in Elasticsearch with ID: 655950da67c227ac79cab9ef
[2023-11-19 05:33:39.640] | INFO | services.log_ingestor_services | process_log_message | log_ingestor_services.py:12 | Inserted log message into MongoDB with ID: 655950db67c227ac79cab9f5
[2023-11-19 05:33:39.660] | INFO | services.log_ingestor_services | process_log_message | log_ingestor_services.py:21 | Indexed log message in Elasticsearch with ID: 655950db67c227ac79cab9f5
[2023-11-19 05:33:39.768] | INFO | services.log_ingestor_services | process_log_message | log_ingestor_services.py:8 | Processing log message: {'level': 'error', 'message': 'Failed to connect to DB', 'resourceId': 'server-1234', 'timestamp': '2023-11-19T05:28:31.498381', 'traceId': 'abc-xyz-123', 'spanId': 'span-456', 'commit': '5e5342f', 'metadata': {'parentResourceId': 'server-0987'}}
[2023-11-19 05:33:39.818] | INFO | services.log_ingestor_services | process_log_message | log_ingestor_services.py:12 | Inserted log message into MongoDB with ID: 655950db67c227ac79cab9f6
[2023-11-19 05:33:39.838] | INFO | services.log_ingestor_services | process_log_message | log_ingestor_services.py:21 | Indexed log message in Elasticsearch with ID: 655950db67c227ac79cab9f6
[2023-11-19 05:33:39.939] | INFO | services.log_ingestor_services | process_log_message | log_ingestor_services.py:8 | Processing log message: {'level': 'error', 'message': 'Failed to connect to DB', 'resourceId': 'server-1234', 'timestamp': '2023-11-19T05:28:31.498381', 'traceId': 'abc-xyz-123', 'spanId': 'span-456', 'commit': '5e5342f', 'metadata': {'parentResourceId': 'server-0987'}}
[2023-11-19 05:33:39.987] | INFO | services.log_ingestor_services | process_log_message | log_ingestor_services.py:12 | Inserted log message into MongoDB with ID: 655950db67c227ac79cab9f7
[2023-11-19 05:33:40.023] | INFO | services.log_ingestor_services | process_log_message | log_ingestor_services.py:21 | Indexed log message in Elasticsearch with ID: 655950db67c227ac79cab9f7
[2023-11-19 05:33:40.231] | INFO | services.log_ingestor_services | process_log_message | log_ingestor_services.py:8 | Processing log message: {'level': 'error', 'message': 'Failed to connect to DB', 'resourceId': 'server-1234', 'timestamp': '2023-11-19T05:28:31.498381', 'traceId': 'abc-xyz-123', 'spanId': 'span-456', 'commit': '5e5342f', 'metadata': {'parentResourceId': 'server-0987'}}
[2023-11-19 05:33:40.285] | INFO | services.log_ingestor_services | process_log_message | log_ingestor_services.py:12 | Inserted log message into MongoDB with ID: 655950dc67c227ac79cab9f8
[2023-11-19 05:33:40.311] | INFO | services.log_ingestor_services | process_log_message | log_ingestor_services.py:21 | Indexed log message in Elasticsearch with ID: 655950dc67c227ac79cab9f8
[2023-11-19 05:33:40.437] | INFO | services.log_ingestor_services | process_log_message | log_ingestor_services.py:8 | Processing log message: {'level': 'error', 'message': 'Failed to connect to DB', 'resourceId': 'server-1234', 'timestamp': '2023-11-19T05:28:31.498381', 'traceId': 'abc-xyz-123', 'spanId': 'span-456', 'commit': '5e5342f', 'metadata': {'parentResourceId': 'server-0987'}}
[2023-11-19 05:33:40.545] | INFO | services.log_ingestor_services | process_log_message | log_ingestor_services.py:12 | Inserted log message into MongoDB with ID: 655950dc67c227ac79cab9f9
[2023-11-19 05:33:40.577] | INFO | services.log_ingestor_services | process_log_message | log_ingestor_services.py:21 | Indexed log message in Elasticsearch with ID: 655950dc67c227ac79cab9f9
[2023-11-19 05:33:40.632] | INFO | services.log_ingestor_services | process_log_message | log_ingestor_services.py:8 | Processing log message: {'level': 'error', 'message': 'Failed to connect to DB', 'resourceId': 'server-1234', 'timestamp': '2023-11-19T05:28:31.498381', 'traceId': 'abc-xyz-123', 'spanId': 'span-456', 'commit': '5e5342f', 'metadata': {'parentResourceId': 'server-0987'}}
[2023-11-19 05:33:40.738] | INFO | services.log_ingestor_services | process_log_message | log_ingestor_services.py:12 | Inserted log message into MongoDB with ID: 655950dc67c227ac79cab9fa
[2023-11-19 05:33:40.788] | INFO | services.log_ingestor_services | process_log_message | log_ingestor_services.py:21 | Indexed log message in Elasticsearch with ID: 655950dc67c227ac79cab9fa
[2023-11-19 05:33:40.877] | INFO | services.log_ingestor_services | process_log_message | log_ingestor_services.py:8 | Processing log message: {'level': 'error', 'message': 'Failed to connect to DB', 'resourceId': 'server-1234', 'timestamp': '2023-11-19T05:28:31.498381', 'traceId': 'abc-xyz-123', 'spanId': 'span-456', 'commit': '5e5342f', 'metadata': {'parentResourceId': 'server-0987'}}
[2023-11-19 05:33:40.923] | INFO | services.log_ingestor_services | process_log_message | log_ingestor_services.py:12 | Inserted log message into MongoDB with ID: 655950dc67c227ac79cab9fb
[2023-11-19 05:33:40.983] | INFO | services.log_ingestor_services | process_log_message | log_ingestor_services.py:21 | Indexed log message in Elasticsearch with ID: 655950dc67c227ac79cab9fb
[2023-11-19 06:03:24.131] | INFO | main | start_consumer | main.py:38 | Initiating consumer ...
[2023-11-19 06:03:24.133] | INFO | main | start_consumer | main.py:40 | Consumer started
[2023-11-19 06:03:45.826] | INFO | main | start_consumer | main.py:38 | Initiating consumer ...
[2023-11-19 06:03:45.826] | INFO | main | start_consumer | main.py:40 | Consumer started
[2023-11-19 06:03:50.313] | INFO | main | start_consumer | main.py:38 | Initiating consumer ...
[2023-11-19 06:03:50.313] | INFO | main | start_consumer | main.py:40 | Consumer started
